dt,weather,visibility,pop,dt_txt,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.sea_level,main.grnd_level,main.humidity,main.temp_kf,clouds.all,wind.speed,wind.deg,wind.gust,sys.pod,rain.3h
1725721200,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,0.11,2024-09-07 15:00:00,287.02,286.5,286.01,287.02,1013,1013,993,78,1.01,75,6.1,319,9.24,d,
1725732000,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000,0.3,2024-09-07 18:00:00,286.3,285.63,284.86,286.3,1013,1013,994,75,1.44,75,5.77,308,9.41,d,0.15
1725742800,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000,0.35,2024-09-07 21:00:00,284.91,284.13,283.85,284.91,1014,1014,995,76,1.06,91,5.76,303,10.54,d,0.25
1725753600,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,0.39,2024-09-08 00:00:00,282.25,279.99,282.25,282.25,1015,1015,996,81,0.0,98,4.13,327,8.07,n,0.58
1725764400,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.36,2024-09-08 03:00:00,282.03,280.75,282.03,282.03,1015,1015,995,81,0.0,83,2.36,234,6.02,n,
1725775200,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000,0.1,2024-09-08 06:00:00,282.11,280.36,282.11,282.11,1014,1014,994,73,0.0,46,3.08,278,8.39,n,
1725786000,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000,0.0,2024-09-08 09:00:00,282.36,280.22,282.36,282.36,1014,1014,994,72,0.0,28,3.91,265,9.54,n,
1725796800,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,0.0,2024-09-08 12:00:00,283.38,282.23,283.38,283.38,1015,1015,995,68,0.0,36,4.92,273,11.63,d,
1725807600,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,0.0,2024-09-08 15:00:00,288.43,287.21,288.43,288.43,1015,1015,995,46,0.0,39,6.44,292,11.95,d,
1725818400,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,0.0,2024-09-08 18:00:00,291.42,290.35,291.42,291.42,1014,1014,995,40,0.0,60,7.31,288,11.57,d,
